Category,YTD,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
SERVICE,8277.75,570.50,596.00,931.00,884.50,766.00,833.50,819.00,920.00,1038.75,918.50,0,0
Flat Repair,456.00,63.00,75.00,54.00,60.00,46.00,50.00,40.00,24.00,25.00,19.00,0,0
Tire Rotation,286.00,77.00,14.00,15.00,19.00,19.00,57.00,22.00,7.00,22.00,34.00,0,0
Mount and Dismount,4308.00,288.00,395.00,585.00,546.00,345.00,420.00,416.00,377.00,500.00,436.00,0,0
Service Call Hours,2038.75,101.50,80.00,169.00,168.50,220.00,209.50,236.00,313.00,293.75,247.50,0,0
Scrap,1189.00,41.00,32.00,108.00,91.00,136.00,97.00,105.00,199.00,198.00,182.00,0,0
BANDAG RETREADS,377.00,2.00,1.00,93.00,82.00,39.00,36.00,20.00,16.00,57.00,31.00,0,0
245/70R17.5 RETREAD,17.00,2.00,1.00,6.00,1.00,0,0,1.00,2.00,4.00,0,0,0
295/75R22.5 RETREAD,360.00,0,0,87.00,81.00,39.00,36.00,19.00,14.00,53.00,31.00,0,0
RETREAD + CASINGS,23.00,0,0,6.00,0,0,0,0,10.00,0,0,0,0
10.00-20 CAP & CASING,0,0,0,0,0,0,0,0,0,0,0,0,0
11R22.5 CAP & CASING,4.00,0,0,0,0,0,4.00,0,0,0,0,0,0
295/75R22.5 CAP & CASING,19.00,0,0,6.00,0,0,3.00,0,10.00,0,0,0,0
REPAIR ONLY,2.00,0,2.00,0,0,0,0,0,0,0,0,0,0
NEW TIRES,4540.00,316.00,391.00,548.00,436.00,384.00,381.00,386.00,522.00,617.00,559.00,0,0
BRIDGESTONE,2332.00,209.00,265.00,352.00,274.00,227.00,144.00,146.00,232.00,254.00,229.00,0,0
Light Truck BRIDGESTONE,0,0,0,0,0,0,0,0,0,0,0,0,0
225/70R19.5 BRIDGESTONE,2.00,0,0,0,0,0,0,2.00,0,0,0,0,0
245/70R17.5 BRIDGESTONE,699.00,35.00,22.00,110.00,140.00,64.00,29.00,40.00,84.00,98.00,77.00,0,0
9R22.5 BRIDGESTONE,0,0,0,0,0,0,0,0,0,0,0,0,0
295/75R22.5 BRIDGESTONE,1100.00,134.00,212.00,158.00,94.00,115.00,76.00,56.00,101.00,76.00,78.00,0,0
11R22.5 BRIDGESTONE,26.00,0,0,1.00,8.00,0,4.00,0,0,9.00,4.00,0,0
OTHER BRIDGESTONE,505.00,40.00,31.00,83.00,32.00,48.00,35.00,48.00,47.00,71.00,70.00,0,0
10.00-20,0,0,0,0,0,0,0,0,0,0,0,0,0
YOKOHAMA TIRES,288.00,32.00,52.00,40.00,61.00,24.00,13.00,23.00,20.00,17.00,6.00,0,0
CONTINENTAL TIRES,956.00,0,1.00,6.00,8.00,65.00,164.00,122.00,147.00,224.00,219.00,0,0
HANKOOK TIRES,2.00,0,0,0,2.00,0,0,0,1.00,0,-1.00,0,0
MISC NEW TIRES,962.00,75.00,73.00,150.00,91.00,68.00,60.00,95.00,122.00,122.00,106.00,0,0
BS STEER-NEW TIRE,1300.00,75.00,65.00,205.00,198.00,114.00,71.00,102.00,153.00,168.00,149.00,0,0
BS DRIVE-NEW TIRE,445.00,30.00,46.00,70.00,30.00,46.00,34.00,19.00,30.00,78.00,62.00,0,0
BS TRAILER-NEW TIRE,583.00,104.00,154.00,77.00,46.00,67.00,35.00,25.00,49.00,8.00,18.00,0,0
