NRT Summary

Run Date,11-08-2021
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"LONE STAR TRANSPORTATION, INC."
All Locations,Yes
Start Date,2021-10-01
End Date,2021-10-31
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2001,Crown Cut(s)/Puncture(s),3,13.64%
2002,Sidewall Cut(s)/Snag(s),4,18.18%
2008,Brake Skid(s),1,4.55%
2102,Worn Too Far,1,4.55%
2202,Belt Separation (Radial Only),1,4.55%
2302,Casing Age Exceeds Fleet Specs,3,13.64%
2305,Tire Size/Type Not Retreaded,9,40.91%
Grand Total,,22,
Total:,***Grand Totals***
