NRT Summary

Run Date,11-08-2021
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"LONE STAR TRANSPORTATION, INC."
All Locations,Yes
Start Date,2020-03-01
End Date,2020-03-31
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2001,Crown Cut(s)/Puncture(s),1,2.78%
2002,Sidewall Cut(s)/Snag(s),6,16.67%
2007,Excessive Sidewall Abrasion,1,2.78%
2009,Pinch Shock,2,5.56%
2010,Rock Drilling,1,2.78%
2011,Bead Distortion,1,2.78%
2102,Worn Too Far,1,2.78%
2202,Belt Separation (Radial Only),4,11.11%
2203,Bead Separation/Splitting,1,2.78%
2204,Liner Defect(s),2,5.56%
2205,Shoulder Separation,1,2.78%
2206,Sidewall Blisters/Bumps,3,8.33%
2302,Casing Age Exceeds Fleet Specs,4,11.11%
2303,Repairs Exceed Fleet Specs,2,5.56%
2305,Tire Size/Type Not Retreaded,1,2.78%
2306,Tire Brand Outside Fleet Specs,1,2.78%
2308,Tread Design Outside Fleet Spe,1,2.78%
2309,Tire Size Outside Fleet Specs,2,5.56%
2408,Too Many Repairs,1,2.78%
Grand Total,,36,
Total:,***Grand Totals***
