NRT Summary

Run Date,11-08-2021
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"LONE STAR TRANSPORTATION, INC."
All Locations,Yes
Start Date,2021-05-01
End Date,2021-05-31
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2001,Crown Cut(s)/Puncture(s),3,16.67%
2003,Combination Of Crown Cut(s)/Pu,1,5.56%
2009,Pinch Shock,1,5.56%
2013,Shock/Curbing Induced Belt Sep,3,16.67%
2301,Times Retreaded Exceeds Fleet,1,5.56%
2302,Casing Age Exceeds Fleet Specs,2,11.11%
2305,Tire Size/Type Not Retreaded,2,11.11%
2306,Tire Brand Outside Fleet Specs,1,5.56%
2309,Tire Size Outside Fleet Specs,2,11.11%
2406,Injuries Too Large,1,5.56%
2408,Too Many Repairs,1,5.56%
Grand Total,,18,
Total:,***Grand Totals***
