NRT Summary

Run Date,11-08-2021
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"LONE STAR TRANSPORTATION, INC."
All Locations,Yes
Start Date,2021-09-01
End Date,2021-09-30
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2009,Pinch Shock,1,5.26%
2204,Liner Defect(s),1,5.26%
2302,Casing Age Exceeds Fleet Specs,1,5.26%
2303,Repairs Exceed Fleet Specs,1,5.26%
2306,Tire Brand Outside Fleet Specs,2,10.53%
2309,Tire Size Outside Fleet Specs,12,63.16%
2407,Injuries Too Close,1,5.26%
Grand Total,,19,
Total:,***Grand Totals***
