NRT Summary

Run Date,11-08-2021
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"LONE STAR TRANSPORTATION, INC."
All Locations,Yes
Start Date,2020-06-01
End Date,2020-06-30
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2002,Sidewall Cut(s)/Snag(s),3,60.00%
2017,Contact With Vehicle Component,1,20.00%
2204,Liner Defect(s),1,20.00%
Grand Total,,5,
Total:,***Grand Totals***
