NRT Summary

Run Date,11-08-2021
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"LONE STAR TRANSPORTATION, INC."
All Locations,Yes
Start Date,2021-07-01
End Date,2021-07-31
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2006,Impact Split(s),1,4.55%
2009,Pinch Shock,1,4.55%
2203,Bead Separation/Splitting,1,4.55%
2205,Shoulder Separation,1,4.55%
2302,Casing Age Exceeds Fleet Specs,2,9.09%
2309,Tire Size Outside Fleet Specs,14,63.64%
2407,Injuries Too Close,1,4.55%
2507,Plies Damaged During Buffing,1,4.55%
Grand Total,,22,
Total:,***Grand Totals***
