NRT Summary

Run Date,11-08-2021
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"LONE STAR TRANSPORTATION, INC."
All Locations,Yes
Start Date,2021-02-01
End Date,2021-02-28
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2001,Crown Cut(s)/Puncture(s),3,5.26%
2002,Sidewall Cut(s)/Snag(s),9,15.79%
2003,Combination Of Crown Cut(s)/Pu,1,1.75%
2006,Impact Split(s),1,1.75%
2007,Excessive Sidewall Abrasion,1,1.75%
2009,Pinch Shock,2,3.51%
2013,Shock/Curbing Induced Belt Sep,3,5.26%
2102,Worn Too Far,3,5.26%
2104,Regrooved Too Deeply,2,3.51%
2106,Bead Damage - Wheel Related,1,1.75%
2202,Belt Separation (Radial Only),3,5.26%
2203,Bead Separation/Splitting,3,5.26%
2204,Liner Defect(s),3,5.26%
2205,Shoulder Separation,2,3.51%
2302,Casing Age Exceeds Fleet Specs,6,10.53%
2303,Repairs Exceed Fleet Specs,1,1.75%
2305,Tire Size/Type Not Retreaded,2,3.51%
2306,Tire Brand Outside Fleet Specs,7,12.28%
2309,Tire Size Outside Fleet Specs,1,1.75%
2406,Injuries Too Large,2,3.51%
2507,Plies Damaged During Buffing,1,1.75%
Grand Total,,57,
Total:,***Grand Totals***
