NRT Summary

Run Date,11-08-2021
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"LONE STAR TRANSPORTATION, INC."
All Locations,Yes
Start Date,2020-05-01
End Date,2020-05-31
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2002,Sidewall Cut(s)/Snag(s),2,15.38%
2004,Run Under-Inflated,1,7.69%
2009,Pinch Shock,1,7.69%
2101,Bead Damage - Mount/Dismount R,1,7.69%
2202,Belt Separation (Radial Only),3,23.08%
2204,Liner Defect(s),1,7.69%
2205,Shoulder Separation,1,7.69%
2302,Casing Age Exceeds Fleet Specs,1,7.69%
2406,Injuries Too Large,1,7.69%
2408,Too Many Repairs,1,7.69%
Grand Total,,13,
Total:,***Grand Totals***
