NRT Summary

Run Date,11-08-2021
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"LONE STAR TRANSPORTATION, INC."
All Locations,Yes
Start Date,2020-04-01
End Date,2020-04-30
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2002,Sidewall Cut(s)/Snag(s),1,11.11%
2009,Pinch Shock,1,11.11%
2102,Worn Too Far,1,11.11%
2204,Liner Defect(s),2,22.22%
2205,Shoulder Separation,1,11.11%
2302,Casing Age Exceeds Fleet Specs,2,22.22%
2303,Repairs Exceed Fleet Specs,1,11.11%
Grand Total,,9,
Total:,***Grand Totals***
